category,stockNo,stockName,lastPrice,revenue,revenueGrowthYOY,operatingProfit,operatingProfitMargin,netProfit,netProfitMargin,EPS,EPSGrowthYOYPercent,yrEnd
Biotechnology,01349.HK,FUDANZHANGJIANG,5.060,993.81M,-13.000%,206.24M,20.752%,196.26M,19.748%,0.203,-27.473%,2020/12
Biotechnology,01477.HK,OCUMENSION-B,26.050,15.61M,N/A,-2.65B,"-16,980.292%",-2.70B,"-17,294.334%",-8.343,N/A,2020/12
Consumer Electronics,00439.HK,KUANGCHI,0.233,99.48M,63.000%,-45.22M,-45.453%,-78.35M,-78.759%,-0.013,73.431%,2020/12
Consumer Electronics,00482.HK,SANDMARTIN-NEW,0.415,863.63M,-19.000%,-36.96M,-4.280%,-12.59M,-1.458%,-0.040,95.833%,2020/12
Consumer Electronics,00485.HK,CHINASINOSTAR,0.285,29.54M,-58.000%,-15.38M,-52.075%,-15.43M,-52.224%,-0.073,38.559%,2021/03
Consumer Electronics,00912.HK,SUGA INT'L,2.150,2.10B,30.000%,102.08M,4.857%,79.27M,3.772%,0.280,186.182%,2021/03
Consumer Electronics,00927.HK,FUJIKON IND,0.900,890.82M,-28.000%,29.71M,3.335%,10.27M,1.152%,0.024,-64.706%,2021/03
Biotechnology,01521.HK,FRONTAGE,8.160,975.41M,24.000%,151.35M,15.517%,132.96M,13.632%,0.066,-17.031%,2020/12
Biotechnology,01548.HK,GENSCRIPT BIO,34.650,3.03B,42.000%,-2.18B,-71.974%,-1.59B,-52.436%,-0.836,-105.219%,2020/12
Biotechnology,01672.HK,ASCLETIS-B,3.510,41.72M,-78.000%,-233.00M,-558.521%,-249.39M,-597.814%,-0.240,-135.819%,2020/12
Biotechnology,01801.HK,INNOVENT BIO,87.600,4.58B,291.000%,-1.02B,-22.340%,-1.19B,-25.975%,-0.882,45.941%,2020/12
Biotechnology,01873.HK,VIVA BIOTECH,9.900,830.70M,130.000%,-420.96M,-50.675%,-461.12M,-55.510%,-0.298,N/A,2020/12
Consumer Electronics,01070.HK,TCL ELECTRONICS,4.480,50.95B,40.000%,2.16B,4.246%,3.60B,7.064%,1.544,54.060%,2020/12
Consumer Electronics,01123.HK,CHINA-HK PHOTO,0.188,916.75M,4.000%,37.33M,4.071%,33.64M,3.669%,0.028,N/A,2021/03
Consumer Electronics,01143.HK,LINKASIA MEDTEC,0.265,595.02M,-5.000%,-152.20M,-25.578%,-173.05M,-29.083%,-0.461,20.171%,2020/12
Consumer Electronics,01747.HK,HOME CONTROL,0.790,1.04B,-25.000%,36.21M,3.481%,28.90M,2.777%,0.057,13.349%,2020/12
Consumer Electronics,02038.HK,FIH,1.260,69.27B,-38.000%,-1.19B,-1.715%,-1.35B,-1.947%,-0.165,"-1,313.800%",2020/12
Biotechnology,01875.HK,TOT BIOPHARM-B,4.400,26.81M,-47.000%,-344.07M,"-1,283.500%",-343.86M,"-1,282.726%",-0.608,38.882%,2020/12
Biotechnology,01877.HK,JUNSHI BIO,62.150,1.90B,119.000%,-1.99B,-104.437%,-1.99B,-104.436%,-2.408,-126.788%,2020/12
Biotechnology,01952.HK,EVEREST MED-B,75.000,1.29M,N/A,-820.57M,N/A,-6.74B,N/A,-79.011,N/A,2020/12
Biotechnology,02126.HK,JW THERAP-B,23.400,34.49M,N/A,-525.43M,N/A,-1.98B,N/A,-15.030,N/A,2020/12
Biotechnology,02142.HK,HBM HOLDINGS-B,9.530,109.37M,N/A,-643.00M,-587.900%,-2.30B,"-2,101.063%",-13.103,N/A,2020/12
Consumer Electronics,02358.HK,JIU RONG HOLD,0.099,722.21M,18.000%,33.48M,4.635%,22.90M,3.171%,0.004,-12.500%,2020/12
Consumer Electronics,02662.HK,MH DEVELOPMENT,1.160,9.73M,-99.000%,-77.70M,-798.407%,-70.15M,-720.859%,-0.070,87.931%,2020/06
Consumer Electronics,02935.HK,SANDMARTIN-OLD,0.350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Consumer Electronics,03882.HK,SKYLIGHT HLDG,0.205,437.11M,-20.000%,-71.06M,-16.257%,-64.02M,-14.646%,-0.067,23.864%,2020/12
Consumer Electronics,06969.HK,SMOORE INTL,42.100,11.93B,N/A,3.80B,31.876%,2.86B,23.975%,0.530,N/A,2020/12
Biotechnology,02170.HK,BASECARE-B,20.900,96.67M,N/A,-63.73M,-65.921%,-1.05B,"-1,081.325%",-6.079,N/A,2020/12
Biotechnology,02171.HK,CARSGEN-B,30.350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,02181.HK,MABPHARM-B,1.240,38.42M,91.000%,-220.06M,N/A,-220.06M,N/A,-0.048,14.674%,2020/12
Biotechnology,02269.HK,WUXI BIO,139.500,6.69B,50.000%,2.34B,34.979%,2.01B,30.092%,0.513,69.862%,2020/12
Biotechnology,02359.HK,WUXI APPTEC,176.600,19.71B,37.000%,4.36B,22.111%,3.52B,17.862%,1.261,66.349%,2020/12
Consumer Electronics,08005.HK,YUXING INFOTECH,0.425,307.38M,-5.000%,30.36M,9.877%,21.91M,7.129%,0.010,-50.000%,2020/12
Consumer Electronics,08136.HK,IMS GROUP,0.090,55.65M,-9.000%,6.55M,11.776%,5.43M,9.756%,0.005,8.000%,2021/03
Consumer Electronics,08147.HK,MILLENNIUM PG,0.050,119.34M,-60.000%,-12.71M,-10.654%,-14.88M,-12.469%,-0.015,-971.429%,2020/12
Biotechnology,02552.HK,HUA MEDICINE-B,4.490,18.90M,-63.000%,-468.58M,N/A,-468.58M,N/A,-0.489,2.823%,2020/12
Biotechnology,02616.HK,CSTONE PHARMA-B,16.200,1.24B,"1,219.000%",-1.46B,-117.536%,-1.46B,-117.536%,-1.395,47.787%,2020/12
Biotechnology,02696.HK,HENLIUS,38.250,700.34M,589.000%,-1.18B,-169.091%,-1.18B,-169.089%,-2.241,-13.930%,2020/12
Biotechnology,03347.HK,TIGERMED,183.800,3.80B,N/A,2.65B,69.773%,2.09B,54.808%,2.622,N/A,2020/12
Biotechnology,03681.HK,SINOMAB BIO-B,3.470,69.65M,"1,981.000%",-145.24M,-208.513%,-146.13M,-209.791%,-0.143,61.215%,2020/12
Forestry & Timber,00094.HK,GREENHEART GP,0.133,326.25M,-12.000%,-38.77M,-11.882%,-17.24M,-5.283%,-0.009,88.462%,2020/12
Biotechnology,03839.HK,CT ENTERPRISE,1.690,725.50M,-11.000%,132.42M,18.252%,126.03M,17.371%,0.498,2.435%,2020/12
Biotechnology,06118.HK,AUSTAR,15.580,1.54B,31.000%,36.63M,2.371%,39.45M,2.554%,0.072,219.973%,2020/12
Biotechnology,06127.HK,JOINN,122.500,1.28B,N/A,431.50M,33.649%,373.01M,29.087%,1.183,N/A,2020/12
Biotechnology,06160.HK,BEIGENE,205.200,2.39B,-28.000%,-12.85B,-536.686%,-12.38B,-517.009%,-11.397,-19.966%,2020/12
Forestry & Timber,00723.HK,RELIANCE GLO HL,0.037,842.63M,36.000%,50.04M,5.938%,33.08M,3.926%,0.004,-2.703%,2021/03
Forestry & Timber,01069.HK,BOZZA DEVELOP,0.011,60.63M,3.000%,-380.28M,-627.220%,-380.49M,-627.574%,-0.035,-240.757%,2019/12
Forestry & Timber,01580.HK,DA SEN HLDGS,0.115,208.92M,-38.000%,-241.75M,-115.716%,-280.46M,-134.243%,-0.288,-219.973%,2020/12
Forestry & Timber,01822.HK,CHINA WOOD INT,0.051,24.30M,-96.000%,-986.15M,"-4,057.567%",-1.06B,"-4,344.902%",-3.090,-52.217%,2020/12
Forestry & Timber,01885.HK,CH WOOD OPT,0.900,52.70M,-77.000%,-442.21M,-839.028%,-456.39M,-865.940%,-0.480,N/A,2020/12
Forestry & Timber,08186.HK,M-RESOURCES,0.900,30.63M,7.000%,-13.80M,-45.042%,-20.82M,-67.968%,-1.408,51.381%,2019/12
Forestry & Timber,08191.HK,HONG WEI ASIA,0.100,330.16M,-16.000%,-72.67M,-22.012%,-70.21M,-21.266%,-0.084,N/A,2020/12
Water Supply,00270.HK,GUANGDONG INV,11.040,23.17B,38.000%,8.20B,35.391%,4.51B,19.462%,0.690,-10.601%,2020/12
Water Supply,00371.HK,BJ ENT WATER,2.960,25.36B,-10.000%,7.98B,31.458%,4.15B,16.379%,0.416,-16.476%,2020/12
Water Supply,00646.HK,CHINA ENV TEC,0.027,53.50M,58.000%,-35.65M,-66.630%,-68.05M,-127.198%,-0.019,73.986%,2020/12
Water Supply,00855.HK,CHINA WATER,6.090,10.35B,18.000%,3.69B,35.639%,1.69B,16.359%,1.060,3.799%,2021/03
Water Supply,00967.HK,SOUND GLOBAL,2.980,5.48B,10.000%,-871.61M,-15.915%,-1.14B,-20.822%,-0.757,N/A,2018/12
Water Supply,01026.HK,UNIVERSAL TECH,0.325,344.75M,13.000%,-20.44M,-5.930%,-36.34M,-10.540%,-0.007,77.703%,2020/12
Gas Supply,00003.HK,HK & CHINA GAS,12.020,40.93B,N/A,7.74B,18.908%,6.01B,14.678%,0.322,-13.776%,2020/12
Water Supply,01065.HK,TIANJIN CAPITAL,3.340,4.01B,25.000%,1.14B,28.458%,679.43M,16.946%,0.477,18.509%,2020/12
Water Supply,01129.HK,WATER INDUSTRY,0.335,1.13B,-5.000%,186.25M,16.489%,11.09M,0.982%,0.007,-90.470%,2020/12
Water Supply,01363.HK,CTEG,0.340,850.41M,-26.000%,-100.91M,-11.866%,-316.72M,-37.243%,-0.050,91.935%,2019/12
Water Supply,01395.HK,ELL ENV,0.122,59.02M,-23.000%,5.10M,8.635%,-4.96M,-8.398%,-0.005,N/A,2020/12
Water Supply,01542.HK,TAIZHOU WATER,3.000,576.64M,9.000%,186.22M,32.294%,122.85M,21.304%,0.620,-10.545%,2020/12
Gas Supply,00135.HK,KUNLUN ENERGY,7.140,131.97B,15.000%,9.26B,7.109%,7.23B,5.550%,0.835,11.950%,2020/12
Gas Supply,00384.HK,CHINA GAS HOLD,23.650,69.98B,17.000%,13.20B,18.860%,10.48B,14.975%,2.010,14.205%,2021/03
Gas Supply,00392.HK,BEIJING ENT,27.000,68.41B,N/A,1.69B,2.478%,5.29B,7.729%,4.190,-34.326%,2020/12
Gas Supply,00603.HK,CHINA OIL & GAS,0.415,10.43B,1.000%,646.88M,6.200%,28.76M,0.276%,0.006,-91.223%,2020/12
Gas Supply,00681.HK,CHI PEOPLE HOLD,0.055,2.08B,-14.000%,181.59M,8.718%,128.61M,6.175%,0.014,N/A,2020/12
Water Supply,01790.HK,TIL ENVIRO,0.600,304.98M,-40.000%,199.06M,65.270%,126.54M,41.490%,0.130,18.182%,2020/12
Water Supply,01857.HK,CEB WATER,1.480,5.66B,2.000%,1.48B,26.117%,1.02B,18.086%,0.358,19.056%,2020/12
Water Supply,02281.HK,XINGLU WATER,1.140,3.01B,30.000%,326.21M,10.852%,248.33M,8.262%,0.286,16.354%,2020/12
Water Supply,03768.HK,DCWT,1.990,2.29B,11.000%,511.95M,22.378%,415.43M,18.159%,0.405,0.732%,2020/12
Water Supply,06136.HK,KANGDA ENV,0.680,3.97B,26.000%,727.33M,18.312%,560.77M,14.118%,0.267,28.806%,2020/12
Electricity Supply,00002.HK,CLP HOLDINGS,77.050,79.59B,-7.000%,14.72B,18.490%,11.46B,14.394%,4.530,146.196%,2020/12
Gas Supply,00956.HK,CHINA SUNTIEN,3.770,14.91B,11.000%,2.68B,18.004%,1.80B,12.074%,0.453,12.583%,2020/12
Gas Supply,01083.HK,TOWNGAS CHINA,5.700,12.83B,N/A,1.84B,14.346%,1.45B,11.282%,0.496,7.599%,2020/12
Gas Supply,01193.HK,CHINA RES GAS,46.200,55.86B,-1.000%,8.73B,15.630%,5.15B,9.221%,2.310,-0.431%,2020/12
Gas Supply,01265.HK,TIANJINJINRAN,0.480,1.60B,-4.000%,-18.36M,-1.146%,-16.11M,-1.005%,-0.008,N/A,2020/12
Water Supply,06839.HK,YUNNAN WATER,1.170,10.01B,36.000%,2.00B,19.976%,265.91M,2.657%,0.223,-40.284%,2020/12
Electricity Supply,00006.HK,POWER ASSETS,47.950,1.33B,-31.000%,1.18B,92.520%,6.13B,482.835%,2.870,-14.072%,2020/12
Electricity Supply,00090.HK,PUXING ENERGY,0.990,691.59M,33.000%,228.29M,33.009%,148.02M,21.403%,0.323,26.219%,2020/12
Electricity Supply,00579.HK,JNCEC,1.800,21.22B,8.000%,4.67B,23.037%,2.75B,13.547%,0.333,17.509%,2020/12
Electricity Supply,00836.HK,CHINA RES POWER,10.500,69.55B,2.000%,14.09B,20.263%,7.58B,10.902%,1.580,15.328%,2020/12
Electricity Supply,00902.HK,HUANENG POWER,2.970,201.96B,3.000%,14.21B,7.034%,2.83B,1.403%,0.048,326.631%,2020/12
Gas Supply,01430.HK,SUCHUANG GAS,2.000,1.41B,-5.000%,118.90M,8.446%,64.86M,4.608%,0.072,-20.007%,2020/12
Gas Supply,01600.HK,TIAN LUN GAS,7.790,7.68B,4.000%,2.03B,26.451%,1.24B,16.204%,1.240,38.655%,2020/12
Gas Supply,01635.HK,DZUG,2.020,5.90B,-5.000%,511.07M,8.658%,614.10M,10.403%,0.203,0.732%,2020/12
Gas Supply,01759.HK,SINO GAS HLDGS,1.210,1.53B,7.000%,30.90M,2.019%,15.05M,0.983%,0.072,-36.005%,2020/12
Electricity Supply,00916.HK,CHINA LONGYUAN,13.120,35.70B,12.000%,11.99B,35.079%,5.63B,16.487%,0.701,16.547%,2020/12
Electricity Supply,00991.HK,DATANG POWER,1.210,113.96B,6.000%,12.96B,11.373%,2.18B,1.914%,0.118,399.926%,2020/12
Electricity Supply,01071.HK,HUADIAN POWER,2.520,106.53B,3.000%,7.59B,7.127%,3.87B,3.635%,0.392,21.842%,2020/12
Electricity Supply,01381.HK,CANVEST ENV,4.540,4.99B,26.000%,1.48B,29.659%,1.05B,21.127%,0.434,18.579%,2020/12
Electricity Supply,01608.HK,VPOWER GROUP,1.760,3.39B,21.000%,582.37M,17.194%,516.29M,15.244%,0.200,79.586%,2020/12
Gas Supply,02337.HK,UNITED STRENGTH,12.500,4.15B,820.000%,247.80M,5.972%,146.94M,3.541%,0.417,-8.951%,2020/12
Gas Supply,02688.HK,ENN ENERGY,148.400,85.36B,8.000%,11.03B,12.919%,7.48B,8.766%,6.663,18.063%,2020/12
Gas Supply,02886.HK,BINHAI INV,1.540,3.65B,2.000%,535.20M,14.648%,354.90M,9.713%,0.290,320.290%,2020/12
Gas Supply,03633.HK,ZHONGYU GAS,6.510,8.54B,4.000%,1.36B,15.963%,1.06B,12.367%,0.400,135.972%,2020/12
Gas Supply,06828.HK,BG BLUE SKY,0.116,2.68B,24.000%,-208.67M,-7.798%,-10.87M,-0.406%,-0.001,N/A,2019/12
Electricity Supply,01649.HK,IMEEI,1.190,8.15B,N/A,823.80M,10.108%,670.54M,8.228%,0.276,N/A,2017/12
Electricity Supply,01671.HK,TIANBAO ENERGY,0.960,574.58M,37.000%,59.71M,10.391%,20.87M,3.632%,0.131,95.539%,2020/12
Electricity Supply,01713.HK,SICHUAN EN INV,1.640,3.60B,30.000%,405.95M,11.277%,320.79M,8.911%,0.298,66.653%,2020/12
Electricity Supply,01816.HK,CGN POWER,1.700,84.13B,23.000%,20.13B,23.931%,11.40B,13.547%,0.225,0.290%,2020/12
Electricity Supply,01853.HK,CHUNCHENG HEAT,2.110,2.26B,29.000%,218.97M,9.685%,196.92M,8.710%,0.417,6.658%,2020/12
Alternative Energy ,00182.HK,CONCORD NE,0.570,2.38B,16.000%,913.73M,38.316%,802.63M,33.658%,0.097,20.839%,2020/12
Gas Supply,08117.HK,CHI P ENERGY,0.164,90.17M,-2.000%,-44.49M,-50.424%,10.28M,11.651%,0.010,N/A,2020/12
Gas Supply,09908.HK,JIAXING GAS,10.060,1.52B,N/A,139.27M,9.174%,110.27M,7.264%,0.942,N/A,2020/12
Electricity Supply,02380.HK,CHINA POWER,1.680,34.22B,9.000%,7.59B,22.414%,2.04B,6.009%,0.203,39.475%,2020/12
Electricity Supply,02638.HK,HKELECTRIC-SS,7.890,10.39B,-3.000%,4.14B,39.850%,2.73B,26.297%,0.309,17.433%,2020/12
Alternative Energy ,00295.HK,KONG SUN HOLD,0.090,1.76B,-24.000%,-496.36M,-28.172%,-747.10M,-42.404%,-0.050,4.305%,2020/12
Alternative Energy ,00451.HK,GCL NEWENERGY,0.280,5.88B,-13.000%,-1.39B,-23.584%,-1.63B,-27.726%,-0.085,N/A,2020/12
Alternative Energy ,00527.HK,RUIFENG RENEW,0.220,412.88M,2.000%,72.54M,17.568%,-253.89M,-61.492%,-0.129,-98.604%,2020/12
Alternative Energy ,00611.HK,CNE TECH CORP,0.700,2.20B,-24.000%,67.85M,3.125%,57.06M,2.628%,0.044,-40.977%,2020/12
Alternative Energy ,00686.HK,BJ ENERGY INTL,0.275,2.64B,6.000%,387.37M,15.123%,287.25M,11.215%,0.013,N/A,2020/12
Alternative Energy ,00987.HK,CH RENEW EN INV,0.215,206.12M,13.000%,79.55M,38.595%,86.15M,41.797%,0.034,50.218%,2020/12
Alternative Energy ,01004.HK,C SMARTERENERGY,0.041,560.45M,-50.000%,-646.04M,-115.272%,-772.38M,-137.814%,-0.082,-533.846%,2020/12
Alternative Energy ,01165.HK,SFCE,0.163,1.75B,-9.000%,-584.17M,-33.425%,-658.26M,-37.664%,-0.132,69.039%,2020/12
Alternative Energy ,01250.HK,BE CLEAN ENERGY,0.105,5.55B,-12.000%,1.02B,18.305%,582.79M,10.497%,0.009,-4.167%,2020/12
Alternative Energy ,01281.HK,LT SMART ENERGY,0.180,472.48M,186.000%,40.21M,8.511%,1.27M,0.268%,0.001,N/A,2020/12
Telecomm. Services,00008.HK,PCCW,4.090,38.05B,1.000%,1.41B,3.717%,-1.02B,-2.681%,-0.132,N/A,2020/12
Alternative Energy ,01798.HK,DATANG RENEW,2.190,11.53B,18.000%,4.67B,41.850%,1.41B,12.664%,0.152,20.557%,2020/12
Alternative Energy ,01799.HK,XINTE ENERGY,15.660,16.10B,65.000%,1.79B,11.093%,828.81M,5.148%,0.691,81.946%,2020/12
Alternative Energy ,01811.HK,CGN NEW ENERGY,3.060,8.92B,-10.000%,2.23B,24.999%,1.26B,14.096%,0.293,45.309%,2020/12
Alternative Energy ,03868.HK,XINYI ENERGY,4.610,1.72B,8.000%,1.21B,70.451%,922.01M,53.541%,0.134,-10.579%,2020/12
Alternative Energy ,08128.HK,CH GEOTHERMAL,0.082,230.86M,-33.000%,-229.72M,-99.506%,-242.40M,-104.997%,-0.055,48.442%,2020/12
Telecomm. Services,00215.HK,HUTCHTEL HK,1.530,4.55B,-18.000%,444.00M,9.769%,361.00M,7.943%,0.075,-15.843%,2020/12
Telecomm. Services,00315.HK,SMARTONE TELE,4.580,6.99B,-16.000%,519.83M,7.440%,378.99M,5.425%,0.338,-39.964%,2020/06
Telecomm. Services,00471.HK,CMMB VISION,0.280,30.05M,-46.000%,-60.81M,-202.348%,-990.06M,"-3,294.634%",-4.090,-202.533%,2020/12
Telecomm. Services,00524.HK,GREAT WALL B&R,0.147,72.38M,-8.000%,23.03M,31.817%,16.85M,23.283%,0.015,N/A,2020/12
Telecomm. Services,00728.HK,CHINA TELECOM,2.880,469.09B,11.000%,34.14B,7.277%,24.85B,5.298%,0.310,10.924%,2020/12
Alternative Energy ,08246.HK,ZHONGHUA GAS,0.220,290.46M,-24.000%,-173.19M,-59.626%,-156.16M,-53.762%,-0.043,N/A,2020/12
Alternative Energy ,08326.HK,TK NEW ENERGY,0.204,190.85M,-36.000%,-7.31M,-3.832%,-8.63M,-4.522%,-0.011,N/A,2021/03
Telecomm. Services,00762.HK,CHINA UNICOM,4.200,362.14B,11.000%,17.21B,4.752%,14.89B,4.112%,0.489,18.188%,2020/12
Telecomm. Services,00941.HK,CHINA MOBILE,47.850,915.46B,9.000%,134.37B,14.678%,128.54B,14.041%,6.281,7.886%,2020/12
Telecomm. Services,01310.HK,HKBN,9.300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Telecomm. Services,01723.HK,HK ASIA HLDGS,4.110,136.01M,-31.000%,12.42M,9.133%,10.76M,7.910%,0.027,-59.488%,2021/03
Telecomm. Services,01883.HK,CITIC TELECOM,2.570,8.92B,-1.000%,1.26B,14.154%,1.02B,11.465%,0.279,1.455%,2020/12
Telecomm. Services,06823.HK,HKT-SS,10.560,32.39B,-2.000%,6.24B,19.272%,5.30B,16.373%,0.700,1.596%,2020/12
Telecomm. Services,08167.HK,NEO TELEMEDIA,0.157,464.91M,-43.000%,-109.17M,-23.482%,-110.34M,-23.735%,-0.012,-17.172%,2020/12
Telecomm. Services,08337.HK,DIRECTEL,0.180,213.79M,-12.000%,300.00K,0.140%,-668.00K,-0.312%,-0.072,78.824%,2020/12
Telecomm. & Networking Equipment,00110.HK,CHINA FORTUNE,0.410,80.95M,-25.000%,-9.17M,-11.329%,219.00K,0.271%,0.002,N/A,2020/12
Telecomm. & Networking Equipment,00261.HK,GBA HOLDINGS,0.010,394.00M,194.000%,-135.00M,-34.264%,-123.00M,-31.218%,-0.001,22.222%,2020/12
Telecomm. & Networking Equipment,00285.HK,BYD ELECTRONIC,49.100,87.15B,47.000%,7.41B,8.506%,6.49B,7.442%,2.872,262.035%,2020/12
Telecomm. & Networking Equipment,00552.HK,CHINACOMSERVICE,3.830,146.19B,11.000%,3.96B,2.706%,3.67B,2.512%,0.530,7.870%,2020/12
Telecomm. & Networking Equipment,00763.HK,ZTE,23.500,120.92B,19.000%,7.35B,5.397%,5.08B,4.199%,1.097,-19.570%,2020/12
Telecomm. & Networking Equipment,00788.HK,CHINA TOWER,1.060,96.66B,13.000%,14.32B,14.812%,7.66B,7.926%,0.044,32.155%,2020/12
Telecomm. & Networking Equipment,00947.HK,MOBI DEV,0.510,1.05B,-22.000%,-51.23M,-4.859%,-35.53M,-3.370%,-0.043,N/A,2020/12
Telecomm. & Networking Equipment,01063.HK,SUNCORP TECH,0.180,173.69M,-14.000%,-70.16M,-40.394%,-70.11M,-40.363%,-0.085,-52.143%,2020/12
Telecomm. & Networking Equipment,01085.HK,HXTL,2.250,1.36B,-14.000%,101.99M,7.510%,73.06M,5.380%,0.188,-42.288%,2020/12
Telecomm. & Networking Equipment,01202.HK,CHENGDU PUTIAN,1.170,497.36M,N/A,-70.71M,-14.216%,-51.48M,-10.351%,-0.131,9.751%,2020/12
Telecomm. & Networking Equipment,01300.HK,TRIGIANT,0.710,3.42B,-13.000%,126.13M,3.683%,-166.11M,-4.851%,-0.093,N/A,2020/12
Warehousing & Logistic Services ,00500.HK,FRONTIER SER,0.900,605.25M,-16.000%,-211.12M,-34.882%,-228.03M,-37.675%,-0.097,35.757%,2020/12
Telecomm. & Networking Equipment,01362.HK,SIS MOBILE,0.490,1.17B,165.000%,11.32M,0.970%,10.83M,0.929%,0.039,N/A,2020/12
Telecomm. & Networking Equipment,01473.HK,PANGAEA CONNECT,0.560,1.55B,N/A,63.68M,4.110%,50.13M,3.236%,0.065,N/A,2021/03
Telecomm. & Networking Equipment,01613.HK,SYNERTONE,0.270,90.28M,23.000%,-13.49M,-14.943%,-15.13M,-16.762%,-0.015,66.515%,2021/03
Telecomm. & Networking Equipment,01617.HK,NANFANG COMM,0.310,452.35M,-24.000%,-29.94M,-6.618%,-22.86M,-5.054%,-0.024,N/A,2020/12
Telecomm. & Networking Equipment,01720.HK,PUTIAN COMM,0.460,648.46M,-24.000%,47.96M,7.397%,38.49M,5.935%,0.035,-49.294%,2020/12
Warehousing & Logistic Services ,00544.HK,DAIDO GROUP,0.044,254.64M,-12.000%,-24.54M,-9.636%,-40.58M,-15.938%,-0.016,41.304%,2020/12
Warehousing & Logistic Services ,00636.HK,KERRY LOG NET,23.500,53.36B,29.000%,4.43B,8.297%,2.90B,5.427%,1.630,-26.244%,2020/12
Warehousing & Logistic Services ,00925.HK,BJ PROPERTIES,0.112,688.37M,N/A,70.74M,10.276%,-270.63M,-39.315%,-0.039,46.335%,2020/12
Warehousing & Logistic Services ,00988.HK,SILKROADLOG-NEW,0.172,34.61M,-99.000%,-89.50M,-258.595%,-376.91M,"-1,089.046%",-0.700,N/A,2020/12
Warehousing & Logistic Services ,01292.HK,CMA LOGISTICS,2.800,5.58B,15.000%,30.43M,0.545%,501.79K,0.009%,N/A,N/A,2020/12
Telecomm. & Networking Equipment,01729.HK,TIME INTERCON,0.450,3.01B,109.000%,268.11M,8.913%,226.36M,7.525%,0.123,76.724%,2021/03
Telecomm. & Networking Equipment,01810.HK,XIAOMI-W,26.200,293.05B,27.000%,28.65B,9.776%,24.26B,8.279%,1.012,114.072%,2020/12
Telecomm. & Networking Equipment,02000.HK,SIM TECH,0.395,938.33M,-18.000%,-50.01M,-5.329%,-38.32M,-4.084%,-0.016,48.232%,2020/12
Telecomm. & Networking Equipment,02239.HK,SMIT,3.650,292.98M,-1.000%,-5.24M,-1.789%,-28.75M,-9.811%,-0.093,N/A,2020/12
Telecomm. & Networking Equipment,02342.HK,COMBA,1.980,5.06B,-12.000%,-268.11M,-5.302%,-194.10M,-3.838%,-0.074,N/A,2020/12
Warehousing & Logistic Services ,01442.HK,INFINITY L&T,1.370,431.66M,N/A,60.62M,14.044%,48.46M,11.226%,0.025,N/A,2020/12
Warehousing & Logistic Services ,01529.HK,GOAL RISE,0.210,222.42M,-5.000%,8.36M,3.787%,2.94M,1.330%,0.004,-71.740%,2020/12
