category,stockNo,stockName,lastPrice,change,changePercent,volumn,turnover,PE,PB,earningYield,marketCap
Consumer Electronics,00927.HK,FUJIKON IND,0.900,+0.020,+2.273%,3.97M,3.50M,37.50,0.58,5.56%,383.26M
Consumer Electronics,01070.HK,TCL ELECTRONICS,4.480,-0.150,-3.240%,5.78M,26.02M,2.90,0.68,4.73%,11.07B
Consumer Electronics,01123.HK,CHINA-HK PHOTO,0.188,+0.013,+7.429%,138.00K,25.30K,6.62,0.35,5.32%,222.84M
Consumer Electronics,01143.HK,LINKASIA MEDTEC,0.265,+0.015,+6.000%,6.91M,1.76M,No Profit,0.38,0.00%,136.09M
Consumer Electronics,01747.HK,HOME CONTROL,0.790,-0.060,-7.059%,194.00K,159.56K,13.77,2.63,3.63%,396.29M
Consumer Electronics,02038.HK,FIH,1.260,-0.020,-1.563%,15.45M,19.47M,No Profit,0.64,0.00%,10.19B
Consumer Electronics,02358.HK,JIU RONG HOLD,0.099,-0.003,-2.941%,40.00K,4.06K,23.57,0.96,0.00%,541.73M
Consumer Electronics,02662.HK,MH DEVELOPMENT,1.160,0.000,0.000%,0.00,0.00,No Profit,N/A,0.00%,1.25B
Consumer Electronics,02935.HK,SANDMARTIN-OLD,0.350,-0.100,-22.222%,600.00,198.00,N/A,N/A,0.00%,114.84M
Consumer Electronics,03882.HK,SKYLIGHT HLDG,0.205,-0.006,-2.844%,552.00K,112.29K,No Profit,0.90,0.00%,195.31M
Consumer Electronics,06969.HK,SMOORE INTL,42.100,-0.950,-2.207%,9.40M,395.90M,79.39,16.71,0.64%,251.17B
Consumer Electronics,08005.HK,YUXING INFOTECH,0.425,-0.005,-1.163%,50.00K,21.25K,42.50,0.41,0.00%,1.06B
Consumer Electronics,08136.HK,IMS GROUP,0.090,0.000,0.000%,0.00,0.00,16.67,1.22,11.11%,90.00M
Consumer Electronics,08147.HK,MILLENNIUM PG,0.050,-0.088,-63.768%,212.98M,14.92M,No Profit,1.28,0.00%,51.54M
Forestry & Timber,00094.HK,GREENHEART GP,0.133,+0.003,+2.308%,176.00K,21.92K,No Profit,0.26,0.00%,246.71M
Forestry & Timber,00723.HK,RELIANCE GLO HL,0.037,-0.002,-5.128%,4.75M,170.04K,10.28,1.46,0.00%,336.91M
Forestry & Timber,01069.HK,BOZZA DEVELOP,0.011,0.000,0.000%,1.72M,18.92K,No Profit,0.43,0.00%,121.27M
Forestry & Timber,01580.HK,DA SEN HLDGS,0.115,0.000,0.000%,0.00,0.00,No Profit,0.56,0.00%,112.06M
Forestry & Timber,01822.HK,CHINA WOOD INT,0.051,+0.001,+2.000%,210.00K,10.62K,No Profit,N/A,0.00%,17.47M
Forestry & Timber,01885.HK,CH WOOD OPT,0.900,0.000,0.000%,0.00,0.00,No Profit,1.23,0.00%,900.00M
Gas Supply,00003.HK,HK & CHINA GAS,12.020,-0.040,-0.332%,21.09M,253.48M,37.34,3.36,2.77%,224.29B
Forestry & Timber,08186.HK,M-RESOURCES,0.900,0.000,0.000%,0.00,0.00,No Profit,1.90,0.00%,14.03M
Forestry & Timber,08191.HK,HONG WEI ASIA,0.100,-0.005,-4.762%,96.00K,9.60K,No Profit,0.29,0.00%,83.26M
Gas Supply,00135.HK,KUNLUN ENERGY,7.140,-0.020,-0.279%,13.93M,99.49M,8.56,0.97,39.17%,61.82B
Gas Supply,00384.HK,CHINA GAS HOLD,23.650,-0.050,-0.211%,19.56M,460.59M,11.77,2.37,2.33%,132.04B
Gas Supply,00392.HK,BEIJING ENT,27.000,-0.550,-1.996%,1.25M,33.78M,6.44,0.40,4.22%,34.08B
Gas Supply,00603.HK,CHINA OIL & GAS,0.415,-0.005,-1.190%,3.75M,1.54M,71.18,0.63,0.00%,2.39B
Gas Supply,00681.HK,CHI PEOPLE HOLD,0.055,+0.001,+1.852%,2.58M,140.72K,3.81,0.16,0.00%,491.40M
Water Supply,00270.HK,GUANGDONG INV,11.040,-0.120,-1.075%,10.37M,114.73M,16.01,1.63,5.34%,72.18B
Gas Supply,00956.HK,CHINA SUNTIEN,3.770,-0.040,-1.050%,20.85M,77.93M,8.32,0.93,4.30%,6.93B
Gas Supply,01083.HK,TOWNGAS CHINA,5.700,-0.040,-0.697%,5.62M,32.36M,11.50,0.82,2.63%,16.92B
Gas Supply,01193.HK,CHINA RES GAS,46.200,-0.400,-0.858%,2.56M,118.18M,20.00,2.95,2.01%,106.91B
Gas Supply,01265.HK,TIANJINJINRAN,0.480,-0.010,-2.041%,40.00K,19.20K,No Profit,0.42,0.00%,240.03M
Gas Supply,01430.HK,SUCHUANG GAS,2.000,0.000,0.000%,0.00,0.00,27.97,1.03,1.31%,1.81B
Water Supply,00371.HK,BJ ENT WATER,2.960,+0.020,+0.680%,9.92M,29.28M,7.12,0.82,5.47%,29.66B
Water Supply,00646.HK,CHINA ENV TEC,0.027,+0.002,+8.000%,8.89M,236.89K,No Profit,N/A,0.00%,98.56M
Water Supply,00855.HK,CHINA WATER,6.090,+0.110,+1.839%,2.16M,13.04M,5.75,0.92,5.09%,9.65B
Water Supply,00967.HK,SOUND GLOBAL,2.980,0.000,0.000%,0.00,0.00,No Profit,0.69,0.00%,4.49B
Water Supply,01026.HK,UNIVERSAL TECH,0.325,0.000,0.000%,0.00,0.00,No Profit,1.56,0.00%,1.79B
Gas Supply,01600.HK,TIAN LUN GAS,7.790,-0.220,-2.747%,1.17M,9.14M,6.28,1.40,4.09%,7.82B
Gas Supply,01635.HK,DZUG,2.020,-0.040,-1.942%,239.00K,484.56K,9.97,0.58,3.25%,1.08B
Gas Supply,01759.HK,SINO GAS HLDGS,1.210,-0.070,-5.469%,9.00K,10.91K,16.92,0.63,0.00%,261.36M
Gas Supply,02337.HK,UNITED STRENGTH,12.500,-0.620,-4.726%,725.00K,8.95M,29.96,15.49,0.43%,4.68B
Gas Supply,02688.HK,ENN ENERGY,148.400,+0.600,+0.406%,2.06M,304.75M,22.27,4.60,1.63%,167.63B
Water Supply,01065.HK,TIANJIN CAPITAL,3.340,-0.120,-3.468%,362.00K,1.22M,7.01,0.61,4.28%,1.14B
Water Supply,01129.HK,WATER INDUSTRY,0.335,-0.020,-5.634%,636.00K,216.68K,48.55,0.38,0.00%,534.84M
Water Supply,01363.HK,CTEG,0.340,0.000,0.000%,0.00,0.00,No Profit,N/A,0.00%,2.15B
Water Supply,01395.HK,ELL ENV,0.122,0.000,0.000%,0.00,0.00,No Profit,0.39,4.10%,135.09M
Water Supply,01542.HK,TAIZHOU WATER,3.000,+0.130,+4.530%,1.00K,3.00K,4.84,0.60,6.75%,150.00M
Electricity Supply,00002.HK,CLP HOLDINGS,77.050,+0.250,+0.326%,2.86M,219.81M,17.01,1.74,4.02%,194.66B
Gas Supply,02886.HK,BINHAI INV,1.540,0.000,0.000%,664.00K,1.01M,5.31,1.07,5.13%,2.08B
Gas Supply,03633.HK,ZHONGYU GAS,6.510,-0.020,-0.306%,598.00K,3.94M,16.30,2.86,1.38%,17.22B
Gas Supply,06828.HK,BG BLUE SKY,0.116,0.000,0.000%,0.00,0.00,No Profit,0.34,0.00%,1.51B
Gas Supply,08117.HK,CHI P ENERGY,0.164,0.000,0.000%,0.00,0.00,16.40,0.52,0.00%,167.93M
Gas Supply,09908.HK,JIAXING GAS,10.060,-0.100,-0.984%,33.50K,337.17K,10.68,1.58,2.96%,380.72M
Water Supply,01790.HK,TIL ENVIRO,0.600,+0.020,+3.448%,100.00K,61.75K,4.62,0.48,0.00%,600.00M
Water Supply,01857.HK,CEB WATER,1.480,-0.030,-1.987%,130.00K,191.60K,4.13,0.40,6.63%,4.23B
Water Supply,02281.HK,XINGLU WATER,1.140,+0.053,+4.876%,568.00K,655.14K,3.99,0.38,6.27%,245.03M
Water Supply,03768.HK,DCWT,1.990,-0.020,-0.995%,268.00K,536.34K,4.91,0.40,10.42%,676.65M
Water Supply,06136.HK,KANGDA ENV,0.680,-0.010,-1.449%,1.67M,1.11M,2.55,0.25,0.00%,1.46B
Electricity Supply,00006.HK,POWER ASSETS,47.950,+0.300,+0.630%,3.10M,147.80M,16.71,1.21,5.86%,102.34B
Electricity Supply,00090.HK,PUXING ENERGY,0.990,-0.030,-2.941%,246.00K,245.64K,3.07,0.59,10.10%,454.01M
Electricity Supply,00579.HK,JNCEC,1.800,-0.070,-3.743%,4.58M,8.34M,5.41,0.51,4.56%,5.09B
Electricity Supply,00836.HK,CHINA RES POWER,10.500,-0.100,-0.943%,12.65M,133.21M,6.65,0.59,6.01%,50.51B
Electricity Supply,00902.HK,HUANENG POWER,2.970,-0.070,-2.303%,18.38M,54.76M,62.30,0.30,7.22%,13.96B
Water Supply,06839.HK,YUNNAN WATER,1.170,-0.040,-3.306%,879.00K,1.05M,5.25,0.23,6.11%,425.55M
Electricity Supply,00916.HK,CHINA LONGYUAN,13.120,-0.260,-1.943%,18.71M,245.86M,18.72,1.71,1.07%,43.82B
Electricity Supply,00991.HK,DATANG POWER,1.210,+0.019,+1.595%,12.48M,15.12M,10.27,0.45,8.96%,7.39B
Electricity Supply,01071.HK,HUADIAN POWER,2.520,-0.010,-0.395%,26.51M,66.94M,6.43,0.43,11.82%,4.33B
Electricity Supply,01381.HK,CANVEST ENV,4.540,+0.020,+0.442%,2.72M,12.36M,10.46,1.55,1.89%,11.08B
Electricity Supply,01608.HK,VPOWER GROUP,1.760,+0.010,+0.571%,3.16M,5.58M,8.81,1.36,2.82%,4.66B
Electricity Supply,01649.HK,IMEEI,1.190,0.000,0.000%,0.00,0.00,4.32,0.67,1.48%,977.64M
Electricity Supply,01671.HK,TIANBAO ENERGY,0.960,0.000,0.000%,40.00K,38.14K,7.32,0.41,6.21%,153.52M
Electricity Supply,01713.HK,SICHUAN EN INV,1.640,+0.020,+1.235%,138.00K,227.50K,5.50,0.52,8.72%,440.83M
Electricity Supply,01816.HK,CGN POWER,1.700,-0.030,-1.734%,24.71M,42.46M,7.55,0.76,5.61%,18.98B
Electricity Supply,01853.HK,CHUNCHENG HEAT,2.110,-0.010,-0.472%,112.50K,237.35K,5.06,0.94,5.82%,246.24M
Electricity Supply,02380.HK,CHINA POWER,1.680,-0.020,-1.176%,17.23M,29.10M,8.29,0.41,9.22%,16.48B
Electricity Supply,02638.HK,HKELECTRIC-SS,7.890,+0.020,+0.254%,3.03M,23.92M,25.52,1.46,4.06%,69.72B
Alternative Energy ,00182.HK,CONCORD NE,0.570,-0.020,-3.390%,16.63M,9.52M,5.85,0.62,5.27%,4.77B
Alternative Energy ,00295.HK,KONG SUN HOLD,0.090,0.000,0.000%,0.00,0.00,No Profit,0.25,0.00%,1.35B
Alternative Energy ,00451.HK,GCL NEWENERGY,0.280,-0.010,-3.448%,46.14M,12.75M,No Profit,0.89,0.00%,5.90B
Alternative Energy ,00527.HK,RUIFENG RENEW,0.220,0.000,0.000%,168.00K,36.31K,No Profit,0.91,0.00%,435.41M
Alternative Energy ,00611.HK,CNE TECH CORP,0.700,0.000,0.000%,3.57M,2.27M,16.09,0.83,0.00%,919.17M
Alternative Energy ,00686.HK,BJ ENERGY INTL,0.275,-0.010,-3.509%,2.79M,762.98K,20.60,0.97,0.00%,6.17B
Alternative Energy ,00987.HK,CH RENEW EN INV,0.215,-0.001,-0.463%,27.62K,5.80K,6.25,0.28,3.72%,538.82M
Alternative Energy ,01004.HK,C SMARTERENERGY,0.041,0.000,0.000%,0.00,0.00,No Profit,0.59,0.00%,384.35M
Alternative Energy ,01165.HK,SFCE,0.163,-0.011,-6.322%,5.30M,863.71K,No Profit,N/A,0.00%,812.13M
Alternative Energy ,01250.HK,BE CLEAN ENERGY,0.105,-0.007,-6.250%,106.92M,11.33M,11.41,0.70,0.00%,6.67B
Alternative Energy ,01281.HK,LT SMART ENERGY,0.180,+0.001,+0.559%,37.00K,6.64K,215.74,0.19,0.00%,267.23M
Alternative Energy ,01798.HK,DATANG RENEW,2.190,-0.040,-1.794%,19.42M,42.79M,14.41,0.56,1.63%,5.48B
Alternative Energy ,01799.HK,XINTE ENERGY,15.660,-1.040,-6.228%,10.72M,171.08M,22.65,1.31,0.76%,4.91B
Alternative Energy ,01811.HK,CGN NEW ENERGY,3.060,-0.150,-4.673%,42.03M,130.28M,10.44,1.40,4.03%,13.13B
Alternative Energy ,03868.HK,XINYI ENERGY,4.610,-0.020,-0.432%,16.67M,76.21M,34.30,2.73,3.15%,32.78B
Alternative Energy ,08128.HK,CH GEOTHERMAL,0.082,-0.002,-2.381%,3.96M,324.53K,No Profit,0.83,0.00%,371.21M
Alternative Energy ,08246.HK,ZHONGHUA GAS,0.220,0.000,0.000%,120.00K,26.40K,No Profit,2.21,0.00%,796.87M
Telecomm. Services,00008.HK,PCCW,4.090,+0.020,+0.491%,10.17M,41.49M,No Profit,3.18,7.87%,31.61B
Telecomm. & Networking Equipment,00110.HK,CHINA FORTUNE,0.410,-0.045,-9.890%,8.00K,3.24K,178.26,2.25,0.00%,75.26M
Alternative Energy ,08326.HK,TK NEW ENERGY,0.204,+0.009,+4.615%,56.00K,11.11K,No Profit,0.78,0.00%,166.87M
Telecomm. Services,00215.HK,HUTCHTEL HK,1.530,0.000,0.000%,2.46M,3.76M,20.43,0.61,4.90%,7.37B
Telecomm. Services,00315.HK,SMARTONE TELE,4.580,-0.020,-0.435%,482.30K,2.21M,13.55,1.02,6.44%,5.09B
Telecomm. Services,00471.HK,CMMB VISION,0.280,0.000,0.000%,1.49M,415.31K,No Profit,0.10,0.00%,98.01M
Telecomm. Services,00524.HK,GREAT WALL B&R,0.147,0.000,0.000%,2.40K,336.00,9.65,6.55,0.00%,192.99M
Telecomm. Services,00728.HK,CHINA TELECOM,2.880,-0.030,-1.031%,165.23M,484.09M,9.29,0.54,4.34%,39.97B
Telecomm. & Networking Equipment,00261.HK,GBA HOLDINGS,0.010,0.000,0.000%,37.12M,177.20K,No Profit,1.99,0.00%,1.84B
Telecomm. & Networking Equipment,00285.HK,BYD ELECTRONIC,49.100,-1.900,-3.725%,8.76M,430.50M,17.09,4.17,0.59%,110.63B
Telecomm. & Networking Equipment,00552.HK,CHINACOMSERVICE,3.830,-0.050,-1.289%,12.87M,49.44M,7.22,0.61,4.99%,9.16B
Telecomm. & Networking Equipment,00763.HK,ZTE,23.500,-0.750,-3.093%,9.93M,234.87M,21.43,2.10,1.01%,17.75B
Telecomm. & Networking Equipment,00788.HK,CHINA TOWER,1.060,-0.010,-0.935%,255.07M,272.46M,24.17,0.84,2.51%,49.46B
Telecomm. & Networking Equipment,00947.HK,MOBI DEV,0.510,-0.010,-1.923%,113.00K,57.63K,No Profit,0.31,0.00%,417.30M
Telecomm. Services,00762.HK,CHINA UNICOM,4.200,-0.040,-0.943%,26.59M,111.76M,8.60,0.33,4.65%,128.51B
Telecomm. Services,00941.HK,CHINA MOBILE,47.850,-0.700,-1.442%,31.57M,1.52B,7.62,0.72,6.88%,979.75B
Telecomm. Services,01310.HK,HKBN,9.300,-0.100,-1.064%,3.11M,29.01M,125.68,1.89,8.07%,12.20B
Telecomm. Services,01723.HK,HK ASIA HLDGS,4.110,-0.020,-0.484%,642.00K,2.57M,152.79,11.24,0.00%,1.64B
Telecomm. Services,01883.HK,CITIC TELECOM,2.570,0.000,0.000%,7.13M,18.31M,9.21,0.97,8.17%,9.45B
Telecomm. & Networking Equipment,01063.HK,SUNCORP TECH,0.180,+0.007,+4.046%,8.04M,1.44M,No Profit,0.64,0.00%,164.33M
Telecomm. & Networking Equipment,01085.HK,HXTL,2.250,0.000,0.000%,46.00K,102.70K,11.95,0.42,0.84%,873.00M
Telecomm. & Networking Equipment,01202.HK,CHENGDU PUTIAN,1.170,-0.090,-7.143%,1.29M,1.52M,No Profit,0.48,0.00%,187.20M
Telecomm. & Networking Equipment,01300.HK,TRIGIANT,0.710,-0.010,-1.389%,438.00K,313.06K,No Profit,0.31,0.00%,1.27B
Telecomm. & Networking Equipment,01362.HK,SIS MOBILE,0.490,0.000,0.000%,0.00,0.00,12.66,1.31,0.00%,137.20M
Telecomm. & Networking Equipment,01473.HK,PANGAEA CONNECT,0.560,+0.010,+1.818%,432.00K,240.44K,8.62,2.09,2.32%,560.00M
Telecomm. Services,06823.HK,HKT-SS,10.560,-0.020,-0.189%,5.56M,58.77M,15.08,2.11,6.73%,80.00B
Telecomm. Services,08167.HK,NEO TELEMEDIA,0.157,+0.020,+14.599%,8.06M,1.13M,No Profit,1.44,0.00%,1.49B
Telecomm. Services,08337.HK,DIRECTEL,0.180,0.000,0.000%,0.00,0.00,No Profit,0.48,0.00%,33.28M
Telecomm. & Networking Equipment,01613.HK,SYNERTONE,0.270,-0.010,-3.571%,6.40K,1.71K,No Profit,1.78,0.00%,322.48M
Telecomm. & Networking Equipment,01617.HK,NANFANG COMM,0.310,-0.010,-3.125%,564.00K,175.28K,No Profit,0.39,0.00%,381.92M
Telecomm. & Networking Equipment,01720.HK,PUTIAN COMM,0.460,0.000,0.000%,0.00,0.00,13.31,0.85,0.00%,506.00M
Telecomm. & Networking Equipment,01729.HK,TIME INTERCON,0.450,+0.005,+1.124%,3.86M,1.76M,3.66,0.97,6.67%,828.19M
Telecomm. & Networking Equipment,01810.HK,XIAOMI-W,26.200,-0.800,-2.963%,134.96M,3.53B,25.89,4.48,0.00%,656.87B
Warehousing & Logistic Services ,00500.HK,FRONTIER SER,0.900,-0.010,-1.099%,43.00K,38.91K,No Profit,4.15,0.00%,2.11B
Telecomm. & Networking Equipment,02000.HK,SIM TECH,0.395,0.000,0.000%,439.00K,173.68K,No Profit,0.44,0.00%,933.21M
Telecomm. & Networking Equipment,02239.HK,SMIT,3.650,+0.010,+0.275%,215.98K,813.20K,No Profit,1.21,0.27%,1.17B
Telecomm. & Networking Equipment,02342.HK,COMBA,1.980,-0.050,-2.463%,4.78M,9.46M,No Profit,1.33,0.35%,5.45B
Telecomm. & Networking Equipment,02369.HK,COOLPAD GROUP,0.335,-0.005,-1.471%,15.64M,5.18M,No Profit,1.81,0.00%,3.62B
Telecomm. & Networking Equipment,03997.HK,TSO,1.170,0.000,0.000%,0.00,0.00,15.68,1.57,6.84%,150.16M
Warehousing & Logistic Services ,00544.HK,DAIDO GROUP,0.044,0.000,0.000%,210.00K,9.11K,No Profit,1.46,0.00%,127.65M
Warehousing & Logistic Services ,00636.HK,KERRY LOG NET,23.500,-0.050,-0.212%,2.85M,66.96M,14.42,1.54,2.07%,42.39B
Warehousing & Logistic Services ,00925.HK,BJ PROPERTIES,0.112,-0.001,-0.885%,152.00K,17.08K,No Profit,0.22,0.00%,780.57M
Warehousing & Logistic Services ,00988.HK,SILKROADLOG-NEW,0.172,-0.003,-1.714%,27.01K,4.54K,No Profit,N/A,0.00%,103.02M
Warehousing & Logistic Services ,01292.HK,CMA LOGISTICS,2.800,0.000,0.000%,173.00K,476.83K,N/A,0.20,0.00%,154.00M
Telecomm. & Networking Equipment,06033.HK,TELECOM DIGIT,3.170,+0.070,+2.258%,708.00K,2.26M,9.61,3.35,8.20%,1.28B
Telecomm. & Networking Equipment,06168.HK,U-TON FUTURE,0.161,0.000,0.000%,0.00,0.00,No Profit,N/A,0.00%,460.45M
Telecomm. & Networking Equipment,06188.HK,BJ DIGITAL,3.830,0.000,0.000%,0.00,0.00,20.08,0.55,0.00%,1.51B
Telecomm. & Networking Equipment,06869.HK,YOFC,9.680,-0.190,-1.925%,1.16M,11.33M,11.28,0.68,2.66%,3.40B
Telecomm. & Networking Equipment,08043.HK,ATLINKS,0.162,-0.018,-10.000%,310.00K,50.24K,13.08,0.85,0.00%,64.80M
Warehousing & Logistic Services ,01442.HK,INFINITY L&T,1.370,-0.080,-5.517%,810.00K,1.14M,55.90,8.17,0.40%,2.74B
Warehousing & Logistic Services ,01529.HK,GOAL RISE,0.210,0.000,0.000%,0.00,0.00,56.84,1.05,0.00%,168.00M
Warehousing & Logistic Services ,01737.HK,A & S GROUP,0.176,+0.001,+0.571%,40.00K,6.95K,4.35,0.80,17.05%,176.00M
Warehousing & Logistic Services ,02057.HK,ZTO EXPRESS-SW,231.200,-2.800,-1.197%,65.95K,15.22M,35.79,3.39,0.84%,197.75B
Warehousing & Logistic Services ,02129.HK,LEGION CONSO,0.170,-0.003,-1.734%,900.00K,152.99K,6.90,N/A,0.00%,212.50M
Telecomm. & Networking Equipment,08066.HK,PHOENITRON HOLD,0.035,-0.001,-2.778%,100.00K,3.50K,4.65,0.37,0.00%,18.39M
Telecomm. & Networking Equipment,08227.HK,HAITIAN ANTENNA,1.720,-0.050,-2.825%,48.00K,82.06K,No Profit,64.70,0.00%,1.11B
Warehousing & Logistic Services ,02130.HK,CN LOGISTICS,7.850,-0.070,-0.884%,2.56M,20.13M,19.05,5.57,1.91%,2.00B
Warehousing & Logistic Services ,02618.HK,JD LOGISTICS,41.400,-0.900,-2.128%,4.35M,180.14M,N/A,N/A,0.00%,255.98B
Warehousing & Logistic Services ,02930.HK,SILKROADLOG-OLD,0.170,0.000,0.000%,0.00,0.00,N/A,N/A,0.00%,101.82M
Warehousing & Logistic Services ,06083.HK,WORLD-LINK LOG,0.470,+0.005,+1.075%,1.57M,732.30K,11.38,2.04,7.45%,235.87M
Warehousing & Logistic Services ,06123.HK,YTO EXP INTL,4.220,-0.080,-1.860%,428.00K,1.81M,6.94,2.05,1.45%,1.76B
Warehousing & Logistic Services ,06880.HK,TEMPUS HOLD,0.260,0.000,0.000%,0.00,0.00,No Profit,1.42,0.00%,90.81M
Warehousing & Logistic Services ,08035.HK,JANCO HOLDINGS,0.275,+0.005,+1.852%,200.00K,54.50K,14.79,2.92,0.00%,165.00M
Warehousing & Logistic Services ,08292.HK,WORLDGATEGLOBAL,0.155,-0.012,-7.186%,254.00K,37.09K,No Profit,1.86,0.00%,24.55M
Warehousing & Logistic Services ,08348.HK,BINHAI TEDA,0.340,+0.030,+9.677%,12.00K,3.99K,No Profit,0.12,0.00%,33.40M
Warehousing & Logistic Services ,08430.HK,C&N HOLDINGS,0.111,-0.009,-7.500%,5.58M,651.79K,No Profit,0.61,0.00%,85.25M
TV & Broadcasting,00511.HK,TVB,7.400,0.000,0.000%,327.50K,2.42M,No Profit,0.63,0.00%,3.24B
