category,stockNo,stockName,lastPrice,currentRatio,quickRatio,ROA,ROE,grossProfitMargin,netProgitMargin,payout,debtEquityRatio,yrEnd
Cosmetics & Personal Care,06893.HK,HINSANG GROUP,0.360,0.37,0.25,-4.49%,-10.04%,57.60%,-26.75%,N/A,108.55%,2021/03
Cosmetics & Personal Care,08176.HK,SUPERROBOTICS,0.650,1.55,1.40,-77.60%,445.46%,-6.65%,-199.23%,N/A,-682.35%,2020/12
Cosmetics & Personal Care,08200.HK,SAU SAN TONG,1.730,5.03,4.96,-2.69%,-3.30%,8.05%,-1.47%,N/A,1.44%,2021/03
Cosmetics & Personal Care,08281.HK,CH GOLD CLASSIC,0.200,1.55,1.27,5.06%,7.71%,43.25%,5.94%,N/A,8.50%,2020/12
Cosmetics & Personal Care,08436.HK,TAKBO GROUP,0.275,3.50,3.24,6.04%,8.28%,31.85%,6.40%,N/A,8.41%,2020/12
Consumer Electronics,06969.HK,SMOORE INTL,42.100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Consumer Electronics,08005.HK,YUXING INFOTECH,0.425,2.77,2.73,0.88%,1.01%,16.70%,7.13%,N/A,6.84%,2020/12
Consumer Electronics,08136.HK,IMS GROUP,0.090,4.64,4.44,5.84%,7.34%,50.92%,9.76%,185.19%,3.63%,2021/03
Consumer Electronics,08147.HK,MILLENNIUM PG,0.050,1.20,1.16,-18.86%,-36.90%,3.42%,-12.47%,N/A,60.51%,2020/12
Forestry & Timber,00723.HK,RELIANCE GLO HL,0.037,1.95,1.78,6.17%,14.32%,8.94%,3.93%,N/A,49.56%,2021/03
Forestry & Timber,01069.HK,BOZZA DEVELOP,0.011,0.10,0.09,-57.86%,-134.99%,64.16%,-627.57%,N/A,124.13%,2019/12
Forestry & Timber,01580.HK,DA SEN HLDGS,0.115,1.55,1.10,-85.37%,-139.01%,-64.93%,-134.24%,N/A,34.23%,2020/12
Forestry & Timber,01822.HK,CHINA WOOD INT,0.051,0.05,0.05,-647.01%,107.89%,18.10%,"-4,344.90%",N/A,-80.17%,2020/12
Forestry & Timber,01885.HK,CH WOOD OPT,0.900,2.18,1.97,-102.83%,-139.61%,57.05%,-865.94%,N/A,21.52%,2020/12
Cosmetics & Personal Care,08451.HK,SUNLIGHT HLDGS,0.055,1.64,0.91,1.51%,2.53%,23.52%,3.00%,N/A,47.74%,2020/09
Cosmetics & Personal Care,08473.HK,MI MING MART,0.280,5.61,5.04,14.94%,17.83%,65.75%,18.22%,24.79%,9.19%,2021/03
Cosmetics & Personal Care,08603.HK,FAMEGLOW,0.280,0.45,0.40,-10.92%,-226.36%,100.00%,-32.85%,N/A,940.13%,2021/03
Forestry & Timber,08186.HK,M-RESOURCES,0.900,1.34,1.33,-27.93%,-241.65%,14.47%,-67.97%,N/A,319.33%,2019/12
Forestry & Timber,08191.HK,HONG WEI ASIA,0.100,0.92,0.50,-9.80%,-24.53%,16.74%,-21.27%,N/A,114.10%,2020/12
Gas Supply,00003.HK,HK & CHINA GAS,12.020,0.68,0.59,4.00%,9.00%,20.52%,14.68%,103.55%,63.12%,2020/12
Gas Supply,00135.HK,KUNLUN ENERGY,7.140,1.66,1.64,3.91%,11.31%,100.00%,5.55%,335.15%,52.88%,2020/12
Gas Supply,00384.HK,CHINA GAS HOLD,23.650,1.09,0.97,7.45%,20.18%,25.87%,14.97%,27.36%,97.63%,2021/03
Gas Supply,00392.HK,BEIJING ENT,27.000,0.93,0.82,2.58%,6.23%,15.88%,7.73%,27.21%,81.71%,2020/12
Gas Supply,00603.HK,CHINA OIL & GAS,0.415,1.21,1.15,0.15%,0.76%,16.09%,0.28%,N/A,207.12%,2020/12
Gas Supply,00681.HK,CHI PEOPLE HOLD,0.055,1.42,1.34,3.05%,4.17%,16.40%,6.17%,N/A,4.79%,2020/12
Biotechnology,00013.HK,HUTCHMED,64.450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gas Supply,00956.HK,CHINA SUNTIEN,3.770,0.64,0.63,2.64%,11.47%,27.26%,12.07%,35.79%,239.86%,2020/12
Gas Supply,01083.HK,TOWNGAS CHINA,5.700,0.43,0.38,3.37%,6.98%,14.22%,11.28%,30.27%,55.89%,2020/12
Gas Supply,01193.HK,CHINA RES GAS,46.200,0.79,0.76,5.49%,14.20%,26.90%,9.22%,40.26%,23.99%,2020/12
Gas Supply,01265.HK,TIANJINJINRAN,0.480,2.46,2.45,-0.55%,-0.77%,-1.41%,-1.01%,N/A,N/A,2020/12
Gas Supply,01430.HK,SUCHUANG GAS,2.000,1.86,1.84,2.37%,3.71%,17.75%,4.61%,36.67%,21.15%,2020/12
Biotechnology,00399.HK,INNOVATIVE PHAR,0.247,0.04,0.04,-14.61%,34.42%,9.25%,"-1,349.26%",N/A,-159.66%,2021/03
Biotechnology,00690.HK,UNI-BIO GROUP,0.103,3.01,2.73,-28.22%,-37.65%,86.74%,-34.16%,N/A,1.66%,2020/12
Biotechnology,01167.HK,JACOBIO-B,21.250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,01349.HK,FUDANZHANGJIANG,5.060,4.74,4.65,6.58%,8.19%,92.46%,19.75%,29.41%,0.68%,2020/12
Gas Supply,01600.HK,TIAN LUN GAS,7.790,0.96,0.93,8.08%,22.21%,27.74%,16.20%,25.67%,107.95%,2020/12
Gas Supply,01635.HK,DZUG,2.020,0.99,0.98,2.21%,6.00%,18.86%,10.40%,32.35%,98.23%,2020/12
Gas Supply,01759.HK,SINO GAS HLDGS,1.210,1.41,1.39,1.89%,3.61%,7.97%,0.98%,N/A,68.06%,2020/12
Gas Supply,02337.HK,UNITED STRENGTH,12.500,0.89,0.71,9.68%,48.61%,13.51%,3.54%,12.80%,238.28%,2020/12
Gas Supply,02688.HK,ENN ENERGY,148.400,0.71,0.67,6.97%,20.54%,17.22%,8.77%,36.32%,65.71%,2020/12
Biotechnology,01477.HK,OCUMENSION-B,26.050,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,01521.HK,FRONTAGE,8.160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,01548.HK,GENSCRIPT BIO,34.650,3.03,2.93,-14.16%,-22.73%,65.47%,-52.44%,N/A,6.10%,2020/12
Biotechnology,01672.HK,ASCLETIS-B,3.510,38.36,37.56,-6.82%,-7.02%,-67.13%,-597.81%,N/A,0.05%,2020/12
Biotechnology,01801.HK,INNOVENT BIO,87.600,6.37,5.90,-8.44%,-11.37%,89.91%,-25.97%,N/A,13.74%,2020/12
Water Supply,00270.HK,GUANGDONG INV,11.040,1.38,0.84,5.03%,10.20%,40.49%,19.46%,85.45%,26.52%,2020/12
Gas Supply,02886.HK,BINHAI INV,1.540,0.35,0.31,5.00%,18.28%,16.51%,9.71%,27.24%,122.60%,2020/12
Gas Supply,03633.HK,ZHONGYU GAS,6.510,0.57,0.51,4.47%,17.56%,22.79%,12.37%,22.53%,193.11%,2020/12
Gas Supply,06828.HK,BG BLUE SKY,0.116,0.67,0.66,-0.13%,-0.25%,8.39%,-0.41%,N/A,68.25%,2019/12
Gas Supply,08117.HK,CHI P ENERGY,0.164,0.77,0.74,1.69%,3.20%,100.00%,11.65%,N/A,53.59%,2020/12
Gas Supply,09908.HK,JIAXING GAS,10.060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,01873.HK,VIVA BIOTECH,9.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,01875.HK,TOT BIOPHARM-B,4.400,4.73,4.57,-44.99%,-49.54%,69.05%,"-1,282.73%",N/A,1.27%,2020/12
Biotechnology,01877.HK,JUNSHI BIO,62.150,3.15,2.92,-20.79%,-28.52%,76.64%,-104.44%,N/A,14.56%,2020/12
Biotechnology,01952.HK,EVEREST MED-B,75.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,02126.HK,JW THERAP-B,23.400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Water Supply,00371.HK,BJ ENT WATER,2.960,0.80,0.79,2.38%,11.49%,38.37%,16.38%,38.97%,200.33%,2020/12
Water Supply,00646.HK,CHINA ENV TEC,0.027,0.13,0.13,-90.05%,12.57%,32.48%,-127.20%,N/A,-37.96%,2020/12
Water Supply,00855.HK,CHINA WATER,6.090,0.89,0.65,3.60%,16.10%,41.94%,16.36%,29.25%,178.72%,2021/03
Water Supply,00967.HK,SOUND GLOBAL,2.980,0.96,0.92,-4.48%,-22.91%,37.76%,-20.82%,N/A,255.73%,2018/12
Water Supply,01026.HK,UNIVERSAL TECH,0.325,3.81,3.76,-1.24%,-3.17%,14.95%,-10.54%,N/A,108.93%,2020/12
Biotechnology,02142.HK,HBM HOLDINGS-B,9.530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,02170.HK,BASECARE-B,20.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,02171.HK,CARSGEN-B,30.350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,02181.HK,MABPHARM-B,1.240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,02269.HK,WUXI BIO,139.500,3.16,2.92,5.83%,8.21%,45.13%,30.09%,N/A,16.20%,2020/12
Water Supply,01065.HK,TIANJIN CAPITAL,3.340,1.08,1.07,3.03%,8.65%,32.16%,16.95%,30.00%,108.59%,2020/12
Water Supply,01129.HK,WATER INDUSTRY,0.335,1.13,0.79,0.20%,0.79%,42.52%,0.98%,N/A,81.94%,2020/12
Water Supply,01363.HK,CTEG,0.340,0.42,0.42,-9.87%,284.58%,33.28%,-37.24%,N/A,"-2,032.57%",2019/12
Water Supply,01395.HK,ELL ENV,0.122,2.16,2.14,-1.04%,-1.44%,50.19%,-8.40%,-111.11%,6.81%,2020/12
Water Supply,01542.HK,TAIZHOU WATER,3.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,02359.HK,WUXI APPTEC,176.600,2.91,2.67,6.38%,9.09%,37.83%,17.86%,28.58%,13.21%,2020/12
Biotechnology,02552.HK,HUA MEDICINE-B,4.490,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,02616.HK,CSTONE PHARMA-B,16.200,4.91,4.91,-32.45%,-41.33%,76.76%,-117.54%,N/A,2.84%,2020/12
Biotechnology,02696.HK,HENLIUS,38.250,0.96,0.81,-15.43%,-31.06%,69.01%,-169.09%,N/A,57.32%,2020/12
Biotechnology,03347.HK,TIGERMED,183.800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Water Supply,01790.HK,TIL ENVIRO,0.600,2.68,2.68,5.11%,10.08%,65.30%,41.49%,N/A,66.11%,2020/12
Water Supply,01857.HK,CEB WATER,1.480,1.12,1.10,3.81%,9.72%,38.86%,18.09%,27.40%,105.27%,2020/12
Water Supply,02281.HK,XINGLU WATER,1.140,0.77,0.75,2.88%,9.57%,18.09%,8.26%,25.00%,125.86%,2020/12
Water Supply,03768.HK,DCWT,1.990,1.24,1.24,3.32%,8.17%,35.38%,18.16%,51.18%,116.48%,2020/12
Water Supply,06136.HK,KANGDA ENV,0.680,1.06,1.06,2.67%,9.57%,39.78%,14.12%,N/A,188.52%,2020/12
Electricity Supply,00002.HK,CLP HOLDINGS,77.050,0.93,0.76,4.89%,10.21%,18.49%,14.39%,68.43%,48.44%,2020/12
Biotechnology,03681.HK,SINOMAB BIO-B,3.470,15.89,15.89,-10.85%,-12.42%,100.00%,-209.79%,N/A,9.91%,2020/12
Biotechnology,03839.HK,CT ENTERPRISE,1.690,2.27,1.61,4.92%,7.13%,26.61%,17.37%,N/A,8.99%,2020/12
Biotechnology,06118.HK,AUSTAR,15.580,1.35,1.09,2.40%,6.39%,24.96%,2.55%,N/A,14.49%,2020/12
Biotechnology,06127.HK,JOINN,122.500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biotechnology,06160.HK,BEIGENE,205.200,4.61,4.53,-28.51%,-41.27%,77.12%,-517.01%,N/A,14.52%,2020/12
Water Supply,06839.HK,YUNNAN WATER,1.170,0.79,0.78,0.47%,4.31%,24.96%,2.66%,32.09%,533.12%,2020/12
Electricity Supply,00006.HK,POWER ASSETS,47.950,0.82,0.82,6.55%,7.23%,100.00%,482.83%,97.91%,4.30%,2020/12
Electricity Supply,00090.HK,PUXING ENERGY,0.990,0.53,0.40,6.41%,19.07%,100.00%,21.40%,30.96%,133.97%,2020/12
Electricity Supply,00579.HK,JNCEC,1.800,0.59,0.59,3.27%,9.40%,100.00%,13.55%,24.62%,154.27%,2020/12
Electricity Supply,00836.HK,CHINA RES POWER,10.500,0.62,0.58,2.92%,8.84%,100.00%,10.90%,39.94%,120.44%,2020/12
Electricity Supply,00902.HK,HUANENG POWER,2.970,0.43,0.39,0.53%,1.83%,100.00%,1.40%,450.00%,186.23%,2020/12
Electricity Supply,00916.HK,CHINA LONGYUAN,13.120,0.59,0.57,2.70%,9.15%,100.00%,16.49%,20.00%,176.36%,2020/12
Electricity Supply,00991.HK,DATANG POWER,1.210,0.43,0.39,0.65%,4.37%,100.00%,1.91%,92.01%,314.73%,2020/12
Electricity Supply,01071.HK,HUADIAN POWER,2.520,0.42,0.38,1.37%,6.70%,100.00%,3.63%,75.99%,223.15%,2020/12
Electricity Supply,01381.HK,CANVEST ENV,4.540,1.46,1.45,5.54%,14.77%,30.98%,21.13%,N/A,128.69%,2020/12
Electricity Supply,01608.HK,VPOWER GROUP,1.760,1.05,0.68,5.65%,15.03%,23.95%,15.24%,24.84%,94.59%,2020/12
Electricity Supply,01649.HK,IMEEI,1.190,1.33,1.32,3.14%,13.23%,22.61%,8.23%,6.40%,185.59%,2017/12
Electricity Supply,01671.HK,TIANBAO ENERGY,0.960,0.65,0.61,2.16%,5.56%,15.48%,3.63%,45.45%,51.23%,2020/12
Electricity Supply,01713.HK,SICHUAN EN INV,1.640,0.82,0.77,5.99%,9.48%,17.91%,8.91%,48.00%,13.62%,2020/12
Electricity Supply,01816.HK,CGN POWER,1.700,0.82,0.63,2.44%,10.04%,37.07%,13.55%,42.33%,218.65%,2020/12
Alternative Energy ,00182.HK,CONCORD NE,0.570,1.31,1.31,3.45%,10.49%,62.03%,33.66%,30.81%,149.95%,2020/12
Electricity Supply,01853.HK,CHUNCHENG HEAT,2.110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Electricity Supply,02380.HK,CHINA POWER,1.680,0.42,0.40,1.10%,5.12%,100.00%,6.01%,76.47%,273.77%,2020/12
Electricity Supply,02638.HK,HKELECTRIC-SS,7.890,0.21,0.12,2.45%,5.72%,48.66%,26.30%,103.59%,94.02%,2020/12
Alternative Energy ,00295.HK,KONG SUN HOLD,0.090,1.25,1.25,-4.38%,-13.56%,62.32%,-42.40%,N/A,145.89%,2020/12
Alternative Energy ,00451.HK,GCL NEWENERGY,0.280,0.61,0.61,-3.04%,-27.17%,63.45%,-27.73%,N/A,579.08%,2020/12
Alternative Energy ,00527.HK,RUIFENG RENEW,0.220,1.58,1.58,-6.87%,-52.99%,32.51%,-61.49%,N/A,552.64%,2020/12
Alternative Energy ,00611.HK,CNE TECH CORP,0.700,1.03,1.03,0.78%,5.16%,100.00%,2.63%,N/A,316.38%,2020/12
Alternative Energy ,00686.HK,BJ ENERGY INTL,0.275,1.25,1.25,0.92%,4.53%,100.00%,11.21%,N/A,333.31%,2020/12
Alternative Energy ,00987.HK,CH RENEW EN INV,0.215,1.58,1.55,2.97%,4.50%,37.42%,41.80%,23.26%,45.53%,2020/12
Alternative Energy ,01004.HK,C SMARTERENERGY,0.041,0.52,0.52,-20.93%,-118.33%,19.80%,-137.81%,N/A,328.08%,2020/12
Alternative Energy ,01165.HK,SFCE,0.163,0.56,0.55,-5.69%,37.46%,46.93%,-37.66%,N/A,-449.03%,2020/12
Alternative Energy ,01250.HK,BE CLEAN ENERGY,0.105,1.06,1.05,1.02%,6.07%,47.96%,10.50%,N/A,319.84%,2020/12
Alternative Energy ,01281.HK,LT SMART ENERGY,0.180,6.27,6.03,0.07%,0.09%,22.02%,0.27%,N/A,20.70%,2020/12
Telecomm. Services,00008.HK,PCCW,4.090,0.94,0.87,-1.04%,-10.27%,46.13%,-2.68%,-243.42%,609.67%,2020/12
Alternative Energy ,01798.HK,DATANG RENEW,2.190,0.79,0.78,1.32%,4.94%,100.00%,12.66%,23.53%,226.05%,2020/12
Alternative Energy ,01799.HK,XINTE ENERGY,15.660,1.02,0.88,1.53%,5.76%,15.86%,5.15%,17.24%,134.86%,2020/12
Alternative Energy ,01811.HK,CGN NEW ENERGY,3.060,0.61,0.59,2.32%,13.36%,100.00%,14.10%,42.06%,300.19%,2020/12
Alternative Energy ,03868.HK,XINYI ENERGY,4.610,1.39,1.39,5.35%,7.68%,72.40%,53.54%,107.89%,19.85%,2020/12
Alternative Energy ,08128.HK,CH GEOTHERMAL,0.082,0.98,0.65,-14.09%,-54.06%,19.98%,-105.00%,N/A,43.81%,2020/12
Telecomm. Services,00215.HK,HUTCHTEL HK,1.530,3.19,3.15,2.44%,3.00%,72.76%,7.94%,100.00%,4.35%,2020/12
Telecomm. Services,00315.HK,SMARTONE TELE,4.580,1.24,1.22,3.63%,7.53%,60.17%,5.42%,87.28%,64.98%,2020/06
Telecomm. Services,00471.HK,CMMB VISION,0.280,0.64,0.64,-68.80%,-120.35%,15.53%,"-3,294.63%",N/A,50.63%,2020/12
Telecomm. Services,00524.HK,GREAT WALL B&R,0.147,1.23,1.23,15.49%,68.10%,7.95%,23.28%,N/A,6.65%,2020/12
Telecomm. Services,00728.HK,CHINA TELECOM,2.880,0.31,0.30,2.92%,5.74%,100.00%,5.30%,40.34%,25.86%,2020/12
Alternative Energy ,08246.HK,ZHONGHUA GAS,0.220,3.67,3.67,-22.02%,-43.29%,-1.69%,-53.76%,N/A,33.58%,2020/12
Alternative Energy ,08326.HK,TK NEW ENERGY,0.204,2.31,2.24,-2.26%,-4.05%,8.61%,-4.52%,N/A,13.24%,2021/03
Telecomm. Services,00762.HK,CHINA UNICOM,4.200,0.49,0.48,2.15%,3.83%,100.00%,4.11%,40.00%,13.04%,2020/12
Telecomm. Services,00941.HK,CHINA MOBILE,47.850,1.12,1.11,6.24%,9.39%,100.00%,14.04%,52.38%,5.80%,2020/12
Telecomm. Services,01310.HK,HKBN,9.300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Telecomm. Services,01723.HK,HK ASIA HLDGS,4.110,5.10,1.56,5.89%,7.35%,33.62%,7.91%,N/A,18.32%,2021/03
Telecomm. Services,01883.HK,CITIC TELECOM,2.570,1.37,1.34,5.58%,10.49%,100.00%,11.46%,75.27%,65.61%,2020/12
Telecomm. Services,06823.HK,HKT-SS,10.560,0.63,0.58,5.14%,14.02%,51.52%,16.37%,101.51%,118.88%,2020/12
Telecomm. Services,08167.HK,NEO TELEMEDIA,0.157,0.14,0.14,-3.21%,-10.63%,15.21%,-23.73%,N/A,199.03%,2020/12
Telecomm. Services,08337.HK,DIRECTEL,0.180,13.62,13.56,-0.87%,-0.96%,0.89%,-0.31%,N/A,2.02%,2020/12
Warehousing & Logistic Services ,00500.HK,FRONTIER SER,0.900,2.61,2.60,-24.26%,-44.83%,100.00%,-37.68%,N/A,24.47%,2020/12
Warehousing & Logistic Services ,00544.HK,DAIDO GROUP,0.044,0.83,0.83,-8.85%,-46.25%,12.00%,-15.94%,N/A,388.58%,2020/12
Warehousing & Logistic Services ,00636.HK,KERRY LOG NET,23.500,1.46,1.43,5.09%,10.54%,11.57%,5.43%,29.82%,48.84%,2020/12
Warehousing & Logistic Services ,00925.HK,BJ PROPERTIES,0.112,1.04,1.01,-1.34%,-7.76%,50.16%,-39.32%,N/A,297.62%,2020/12
Warehousing & Logistic Services ,00988.HK,SILKROADLOG-NEW,0.172,0.23,0.23,-50.18%,464.80%,4.90%,"-1,089.05%",N/A,-639.37%,2020/12
Warehousing & Logistic Services ,01292.HK,CMA LOGISTICS,2.800,1.38,1.38,0.01%,0.02%,5.06%,0.01%,N/A,3.98%,2020/12
Telecomm. & Networking Equipment,00110.HK,CHINA FORTUNE,0.410,0.95,0.95,0.56%,1.31%,0.48%,0.27%,N/A,2.72%,2020/12
Warehousing & Logistic Services ,01442.HK,INFINITY L&T,1.370,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Warehousing & Logistic Services ,01529.HK,GOAL RISE,0.210,2.73,2.73,1.08%,1.83%,100.00%,1.33%,N/A,45.92%,2020/12
Warehousing & Logistic Services ,01737.HK,A & S GROUP,0.176,3.20,3.20,13.07%,18.39%,14.52%,9.92%,74.07%,24.52%,2021/03
Warehousing & Logistic Services ,02057.HK,ZTO EXPRESS-SW,231.200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Warehousing & Logistic Services ,02129.HK,LEGION CONSO,0.170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Telecomm. & Networking Equipment,00261.HK,GBA HOLDINGS,0.010,2.20,0.59,-8.31%,-13.28%,-6.35%,-31.22%,N/A,N/A,2020/12
Telecomm. & Networking Equipment,00285.HK,BYD ELECTRONIC,49.100,1.76,1.29,14.33%,24.43%,13.17%,7.44%,10.00%,12.32%,2020/12
